"","stom_leng","stom_dens"
"ACEPEN01_HF",14.3734,307.225583737626
"ACEPEN01_WM",16.7905333333333,140.588790933563
"ACEPEN02_HF",12.6304,277.17090706764
"ACEPEN03_GR",10.199,479.82328241698
"ACEPEN03_HF",13.4272,166.970425944362
"ACEPEN03_WM",14.8342666666667,159.371908750598
"ACEPEN04_HF",13.8414,561.020631173055
"ACEPEN05_GR",13.574,169.048060353313
"ACEPEN05_SH",15.8166,488.361063242905
"ACEPEN06_GR",12.2784,160.510279527388
"ACEPEN06_SH",14.7288,353.464126193291
"ACEPEN07_GR",12.975,322.728115219961
"ACEPEN07_SH",11.9952,341.511233036996
"ACEPEN08_SH",9.5778,414.93614813995
"ACERUB01_GR",13.9844,391.030361827361
"ACERUB01_WM",16.1852666666667,50.3729068729569
"ACERUB02_WM",15.49,17.0755616518498
"ACERUB03_GR",14.9362,179.293397344423
"ACERUB03_WM",18.9086,174.170728848868
"ACERUB04_WM",18.1004,208.321852152568
"ACERUB05_GR",14.5026,203.199183657013
"ACERUB05_SH",13.3898,404.267794812264
"ACERUB05_WM",15.4446,64.8871342770293
"ACERUB06_GR",13.572,252.718312447377
"ACERUB06_SH",16.0018,102.779947833626
"ACERUB06_WM",17.9244,134.896937049613
"ACERUB07_SH",14.4734,171.299913056044
"ACERUB09_SH",13.6188,37.6859808723297
"ACERUB11_HF",16.0758,85.649956528022
"ACERUB13_HF",15.3656,54.8159721779341
"ACERUB14_HF",17.513,174.725911317165
"ACERUB15_HF",15.501,196.994900014451
"ACESAC01_GR",9.7266,235.642750795527
"ACESAC02_GR",10.5078,133.189380884429
"ACESAC05_GR",9.8264,317.605446724406
"ACESAC05_SH",9.4122,239.819878278462
"ACESAC06_GR",9.1296,312.482778228852
"ACESAC06_SH",9.1876,169.586913925483
"ACESAC07_SH",10.9688,334.034830459286
"ACESAC09_SH",11.0568,238.106879147901
"ALNINC01_GR",10.2882,51.2266849555494
"ALNINC01_HF",27.9928,152.456922619879
"ALNINC01_SH",13.9482,49.6769747862527
"ALNINC01_WM",11.8938,71.7173589377692
"ALNINC02_GR",12.6772,92.208032919989
"ALNINC02_HF",20.4278,114.770941747549
"ALNINC02_SH",17.828,30.8339843500879
"ALNINC02_WM",14.362,64.8871342770293
"ALNINC03_GR",15.775,27.3208986429597
"ALNINC03_WM",16.2924,126.359156223689
"ALNINC04_GR",15.5264,76.8400274333241
"ALNINC04_HF",17.0922,59.9549695696154
"ALNINC04_SH",20.3584,32.5469834806484
"ALNINC04_WM",16.1942,129.774268554059
"ALNINC05_HF",22.775,66.8069660918571
"ALNINC05_SH",19.2428,59.9549695696154
